YearMonth,Primary Type,Count
2014-01,ARSON,22
2014-01,ASSAULT,1037
2014-01,BATTERY,3337
2014-01,BURGLARY,1137
2014-01,HOMICIDE,20
2014-01,NARCOTICS,2224
2014-01,OTHER,1423
2014-01,ROBBERY,798
2014-01,THEFT,4448
2014-01,TRESPASSING,576
2014-01,VANDALISM,1790
2014-01,VEHICLE THEFT,817
2014-02,ARSON,27
2014-02,ASSAULT,1022
2014-02,BATTERY,3175
2014-02,BURGLARY,889
2014-02,HOMICIDE,21
2014-02,NARCOTICS,2356
2014-02,OTHER,1185
2014-02,ROBBERY,556
2014-02,THEFT,4017
2014-02,TRESPASSING,536
2014-02,VANDALISM,1595
2014-02,VEHICLE THEFT,682
2014-03,ARSON,26
2014-03,ASSAULT,1388
2014-03,BATTERY,3975
2014-03,BURGLARY,1054
2014-03,HOMICIDE,24
2014-03,NARCOTICS,2644
2014-03,OTHER,1405
2014-03,ROBBERY,624
2014-03,THEFT,4516
2014-03,TRESPASSING,703
2014-03,VANDALISM,2207
2014-03,VEHICLE THEFT,910
2014-04,ARSON,32
2014-04,ASSAULT,1407
2014-04,BATTERY,4188
2014-04,BURGLARY,1124
2014-04,HOMICIDE,37
2014-04,NARCOTICS,2633
2014-04,OTHER,1504
2014-04,ROBBERY,726
2014-04,THEFT,4836
2014-04,TRESPASSING,643
2014-04,VANDALISM,2430
2014-04,VEHICLE THEFT,702
2014-05,ARSON,45
2014-05,ASSAULT,1669
2014-05,BATTERY,4804
2014-05,BURGLARY,1206
2014-05,HOMICIDE,41
2014-05,NARCOTICS,2640
2014-05,OTHER,1614
2014-05,ROBBERY,835
2014-05,THEFT,5352
2014-05,TRESPASSING,648
2014-05,VANDALISM,2564
2014-05,VEHICLE THEFT,728
2014-06,ARSON,42
2014-06,ASSAULT,1660
2014-06,BATTERY,4822
2014-06,BURGLARY,1244
2014-06,HOMICIDE,37
2014-06,NARCOTICS,2443
2014-06,OTHER,1521
2014-06,ROBBERY,860
2014-06,THEFT,5839
2014-06,TRESPASSING,682
2014-06,VANDALISM,2489
2014-06,VEHICLE THEFT,906
2014-07,ARSON,54
2014-07,ASSAULT,1631
2014-07,BATTERY,4774
2014-07,BURGLARY,1397
2014-07,HOMICIDE,38
2014-07,NARCOTICS,2772
2014-07,OTHER,1512
2014-07,ROBBERY,927
2014-07,THEFT,6336
2014-07,TRESPASSING,708
2014-07,VANDALISM,2672
2014-07,VEHICLE THEFT,913
2014-08,ARSON,33
2014-08,ASSAULT,1616
2014-08,BATTERY,4747
2014-08,BURGLARY,1384
2014-08,HOMICIDE,48
2014-08,NARCOTICS,2644
2014-08,OTHER,1532
2014-08,ROBBERY,883
2014-08,THEFT,5885
2014-08,TRESPASSING,674
2014-08,VANDALISM,2645
2014-08,VEHICLE THEFT,865
2014-09,ARSON,28
2014-09,ASSAULT,1573
2014-09,BATTERY,4237
2014-09,BURGLARY,1300
2014-09,HOMICIDE,46
2014-09,NARCOTICS,2387
2014-09,OTHER,1394
2014-09,ROBBERY,872
2014-09,THEFT,5486
2014-09,TRESPASSING,606
2014-09,VANDALISM,2389
2014-09,VEHICLE THEFT,858
2014-10,ARSON,28
2014-10,ASSAULT,1504
2014-10,BATTERY,4070
2014-10,BURGLARY,1358
2014-10,HOMICIDE,38
2014-10,NARCOTICS,2383
2014-10,OTHER,1352
2014-10,ROBBERY,960
2014-10,THEFT,5563
2014-10,TRESPASSING,678
2014-10,VANDALISM,2497
2014-10,VEHICLE THEFT,922
2014-11,ARSON,38
2014-11,ASSAULT,1160
2014-11,BATTERY,3675
2014-11,BURGLARY,1135
2014-11,HOMICIDE,39
2014-11,NARCOTICS,2133
2014-11,OTHER,1301
2014-11,ROBBERY,795
2014-11,THEFT,4540
2014-11,TRESPASSING,556
2014-11,VANDALISM,2262
2014-11,VEHICLE THEFT,848
2014-12,ARSON,22
2014-12,ASSAULT,1236
2014-12,BATTERY,3651
2014-12,BURGLARY,1341
2014-12,HOMICIDE,40
2014-12,NARCOTICS,1859
2014-12,OTHER,1276
2014-12,ROBBERY,964
2014-12,THEFT,4750
2014-12,TRESPASSING,529
2014-12,VANDALISM,2259
2014-12,VEHICLE THEFT,760
2015-01,ARSON,17
2015-01,ASSAULT,1222
2015-01,BATTERY,3539
2015-01,BURGLARY,1065
2015-01,HOMICIDE,30
2015-01,NARCOTICS,2339
2015-01,OTHER,1481
2015-01,ROBBERY,798
2015-01,THEFT,4407
2015-01,TRESPASSING,577
2015-01,VANDALISM,1924
2015-01,VEHICLE THEFT,826
2015-02,ARSON,20
2015-02,ASSAULT,1082
2015-02,BATTERY,2911
2015-02,BURGLARY,663
2015-02,HOMICIDE,20
2015-02,NARCOTICS,1971
2015-02,OTHER,1225
2015-02,ROBBERY,456
2015-02,THEFT,3228
2015-02,TRESPASSING,438
2015-02,VANDALISM,1504
2015-02,VEHICLE THEFT,627
2015-03,ARSON,41
2015-03,ASSAULT,1437
2015-03,BATTERY,4135
2015-03,BURGLARY,847
2015-03,HOMICIDE,35
2015-03,NARCOTICS,2462
2015-03,OTHER,1485
2015-03,ROBBERY,617
2015-03,THEFT,4275
2015-03,TRESPASSING,583
2015-03,VANDALISM,2238
2015-03,VEHICLE THEFT,784
2015-04,ARSON,42
2015-04,ASSAULT,1396
2015-04,BATTERY,4119
2015-04,BURGLARY,921
2015-04,HOMICIDE,36
2015-04,NARCOTICS,2091
2015-04,OTHER,1482
2015-04,ROBBERY,678
2015-04,THEFT,4528
2015-04,TRESPASSING,576
2015-04,VANDALISM,2465
2015-04,VEHICLE THEFT,725
2015-05,ARSON,41
2015-05,ASSAULT,1676
2015-05,BATTERY,4893
2015-05,BURGLARY,1075
2015-05,HOMICIDE,50
2015-05,NARCOTICS,1976
2015-05,OTHER,1679
2015-05,ROBBERY,730
2015-05,THEFT,4941
2015-05,TRESPASSING,559
2015-05,VANDALISM,2601
2015-05,VEHICLE THEFT,851
2015-06,ARSON,39
2015-06,ASSAULT,1589
2015-06,BATTERY,4579
2015-06,BURGLARY,1130
2015-06,HOMICIDE,49
2015-06,NARCOTICS,1843
2015-06,OTHER,1489
2015-06,ROBBERY,768
2015-06,THEFT,5015
2015-06,TRESPASSING,607
2015-06,VANDALISM,2463
2015-06,VEHICLE THEFT,909
2015-07,ARSON,51
2015-07,ASSAULT,1593
2015-07,BATTERY,4575
2015-07,BURGLARY,1157
2015-07,HOMICIDE,57
2015-07,NARCOTICS,1928
2015-07,OTHER,1568
2015-07,ROBBERY,916
2015-07,THEFT,5398
2015-07,TRESPASSING,542
2015-07,VANDALISM,2821
2015-07,VEHICLE THEFT,892
2015-08,ARSON,40
2015-08,ASSAULT,1597
2015-08,BATTERY,4627
2015-08,BURGLARY,1250
2015-08,HOMICIDE,55
2015-08,NARCOTICS,2098
2015-08,OTHER,1618
